"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","HTTP","",""
"pre_128cipher","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not offered","",""
"SSLv3","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not offered","",""
"TLS1","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","not offered","",""
"TLS1_1","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","not offered","",""
"TLS1_2","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","offered","",""
"TLS1_3","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","offered with final","",""
"ALPN","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","http/1.1","",""
"cipherlist_NULL","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","offered","",""
"cipherlist_STRONG","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","offered","",""
"cipher_order","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"cipher-tls1_2_xc030","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x9f","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x6b","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_xc077","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","TLSv1.2   xc077   ECDHE-RSA-CAMELLIA256-SHA384      ECDH 521   Camellia    256      TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_x9d","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3d","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_xc02f","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9e","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x67","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc076","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","TLSv1.2   xc076   ECDHE-RSA-CAMELLIA128-SHA256      ECDH 521   Camellia    128      TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"supportedciphers_TLSv1_2","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-CAMELLIA256-SHA384 AES256-GCM-SHA384 AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 ECDHE-RSA-CAMELLIA128-SHA256","",""
"FS","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","offered","",""
"FS_ciphers","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","","",""
"TLS_extensions","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","yes","",""
"sessionresumption_ticket","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","not supported","",""
"sessionresumption_ID","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","supported","",""
"TLS_timestamp","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","random","",""
"certificate_compression","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","none","",""
"clientAuth","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","none","",""
"cert_numbers","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","1","",""
"cert_signatureAlgorithm","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","SHA256 with RSA","",""
"cert_keySize","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","43BE0B5F6D1C9B1EFB1A693ED0F4167E","",""
"cert_fingerprintSHA1","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","4746529C28EC86B93D18B8299EE0426266195059","",""
"cert_fingerprintSHA256","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","E8F62243CB478775C524E63B4F779ED50380B80FBA54A325A1BD2FFA7FCDBBFD","",""
